 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Circ.,IntDen,RawIntDen,Ch,Slice,AR,Round,Solidity
1,2-7_coloc_label.tif:0001-1003:1,1.515,69.875,0,208,9.169,62.990,9.200,63.022,1.000,105.828,26832,1,1,1.000,1.000,1.021
2,2-7_coloc_label.tif:0002-1003:2,1.515,0.000,0,0,9.169,62.990,9.169,62.990,1.000,0.000,0,2,1,1.000,1.000,1.021
3,2-7_coloc_label.tif:0003-0911:1,1.278,22.756,0,101,10.017,57.213,10.065,57.220,0.967,29.080,7373,1,1,1.416,0.706,1.006
4,2-7_coloc_label.tif:0004-0911:2,1.278,0.000,0,0,10.017,57.213,10.017,57.213,0.967,0.000,0,2,1,1.416,0.706,1.006
5,2-7_coloc_label.tif:0005-0807:1,1.515,26.875,0,80,14.319,50.681,14.350,50.713,1.000,40.703,10320,1,1,1.000,1.000,1.021
6,2-7_coloc_label.tif:0006-0807:2,1.515,0.000,0,0,14.319,50.681,14.319,50.681,1.000,0.000,0,2,1,1.000,1.000,1.021
7,2-7_coloc_label.tif:0007-0728:1,1.515,80.625,0,240,16.580,45.720,16.611,45.751,1.000,122.109,30960,1,1,1.000,1.000,1.021
8,2-7_coloc_label.tif:0008-0728:2,1.515,0.000,0,0,16.580,45.720,16.580,45.720,1.000,0.000,0,2,1,1.000,1.000,1.021
9,2-7_coloc_label.tif:0009-0839:1,1.515,28.555,0,85,18.024,52.691,18.056,52.722,1.000,43.247,10965,1,1,1.000,1.000,1.021
10,2-7_coloc_label.tif:0010-0839:2,1.515,0.000,0,0,18.024,52.691,18.024,52.691,1.000,0.000,0,2,1,1.000,1.000,1.021
11,2-7_coloc_label.tif:0011-0660:1,1.515,17.805,0,53,18.527,41.449,18.558,41.481,1.000,26.966,6837,1,1,1.000,1.000,1.021
12,2-7_coloc_label.tif:0012-0660:2,1.515,0.000,0,0,18.527,41.449,18.527,41.449,1.000,0.000,0,2,1,1.000,1.000,1.021
13,2-7_coloc_label.tif:0013-0706:1,1.515,19.820,0,59,22.106,44.338,22.138,44.370,1.000,30.018,7611,1,1,1.000,1.000,1.021
14,2-7_coloc_label.tif:0014-0706:2,1.515,0.000,0,0,22.106,44.338,22.106,44.338,1.000,0.000,0,2,1,1.000,1.000,1.021
15,2-7_coloc_label.tif:0015-0635:1,1.357,88.125,0,235,23.300,39.879,23.394,39.911,0.992,119.565,30315,1,1,1.105,0.905,1.006
16,2-7_coloc_label.tif:0016-0635:2,1.357,0.000,0,0,23.300,39.879,23.300,39.879,0.992,0.000,0,2,1,1.105,0.905,1.006
17,2-7_coloc_label.tif:0017-0773:1,1.515,25.195,0,75,24.053,48.546,24.085,48.577,1.000,38.159,9675,1,1,1.000,1.000,1.021
18,2-7_coloc_label.tif:0018-0773:2,1.515,0.000,0,0,24.053,48.546,24.053,48.546,1.000,0.000,0,2,1,1.000,1.000,1.021
19,2-7_coloc_label.tif:0019-0632:1,1.357,85.875,0,229,24.807,39.691,24.775,39.722,0.992,116.512,29541,1,1,1.105,0.905,1.006
20,2-7_coloc_label.tif:0020-0632:2,1.357,0.000,0,0,24.807,39.691,24.807,39.691,0.992,0.000,0,2,1,1.105,0.905,1.006
21,2-7_coloc_label.tif:0021-0840:1,1.515,82.305,0,245,25.121,52.754,25.152,52.785,1.000,124.653,31605,1,1,1.000,1.000,1.021
22,2-7_coloc_label.tif:0022-0840:2,1.515,0.000,0,0,25.121,52.754,25.121,52.754,1.000,0.000,0,2,1,1.000,1.000,1.021
23,2-7_coloc_label.tif:0023-0450:1,1.515,75.250,0,224,26.754,28.261,26.785,28.292,1.000,113.968,28896,1,1,1.000,1.000,1.021
24,2-7_coloc_label.tif:0024-0450:2,1.515,0.000,0,0,26.754,28.261,26.754,28.261,1.000,0.000,0,2,1,1.000,1.000,1.021
