 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Circ.,IntDen,RawIntDen,Ch,Slice,AR,Round,Solidity
1,2-7_coloc_label_ctrl.tif:0001-0315:1,1.515,1.680,0,5,16.768,19.783,16.800,19.814,1.000,2.544,645,1,1,1.000,1.000,1.021
2,2-7_coloc_label_ctrl.tif:0002-0315:2,1.515,0.000,0,0,16.768,19.783,16.768,19.783,1.000,0.000,0,2,1,1.000,1.000,1.021
3,2-7_coloc_label_ctrl.tif:0003-0100:1,1.515,73.570,0,219,16.831,6.280,16.862,6.312,1.000,111.425,28251,1,1,1.000,1.000,1.021
4,2-7_coloc_label_ctrl.tif:0004-0100:2,1.515,0.000,0,0,16.831,6.280,16.831,6.280,1.000,0.000,0,2,1,1.000,1.000,1.021
5,2-7_coloc_label_ctrl.tif:0005-0217:1,1.515,3.695,0,11,18.652,13.628,18.684,13.659,1.000,5.597,1419,1,1,1.000,1.000,1.021
6,2-7_coloc_label_ctrl.tif:0006-0217:2,1.515,0.000,0,0,18.652,13.628,18.652,13.628,1.000,0.000,0,2,1,1.000,1.000,1.021
7,2-7_coloc_label_ctrl.tif:0007-0517:1,1.515,5.375,0,16,18.652,32.469,18.684,32.500,1.000,8.141,2064,1,1,1.000,1.000,1.021
8,2-7_coloc_label_ctrl.tif:0008-0517:2,1.515,0.000,0,0,18.652,32.469,18.652,32.469,1.000,0.000,0,2,1,1.000,1.000,1.021
9,2-7_coloc_label_ctrl.tif:0009-0552:1,1.515,7.055,0,21,21.101,34.667,21.133,34.698,1.000,10.685,2709,1,1,1.000,1.000,1.021
10,2-7_coloc_label_ctrl.tif:0010-0552:2,1.515,0.000,0,0,21.101,34.667,21.101,34.667,1.000,0.000,0,2,1,1.000,1.000,1.021
11,2-7_coloc_label_ctrl.tif:0011-0084:1,1.515,9.070,0,27,22.420,5.275,22.452,5.307,1.000,13.737,3483,1,1,1.000,1.000,1.021
12,2-7_coloc_label_ctrl.tif:0012-0084:2,1.515,0.000,0,0,22.420,5.275,22.420,5.275,1.000,0.000,0,2,1,1.000,1.000,1.021
13,2-7_coloc_label_ctrl.tif:0013-0596:1,1.515,10.750,0,32,22.609,37.430,22.640,37.461,1.000,16.281,4128,1,1,1.000,1.000,1.021
14,2-7_coloc_label_ctrl.tif:0014-0596:2,1.515,0.000,0,0,22.609,37.430,22.609,37.430,1.000,0.000,0,2,1,1.000,1.000,1.021
15,2-7_coloc_label_ctrl.tif:0015-0617:1,1.515,75.250,0,224,28.261,38.749,28.292,38.780,1.000,113.968,28896,1,1,1.000,1.000,1.021
16,2-7_coloc_label_ctrl.tif:0016-0617:2,1.515,0.000,0,0,28.261,38.749,28.261,38.749,1.000,0.000,0,2,1,1.000,1.000,1.021
17,2-7_coloc_label_ctrl.tif:0017-0552:1,1.515,71.555,0,213,29.140,34.667,29.172,34.698,1.000,108.372,27477,1,1,1.000,1.000,1.021
18,2-7_coloc_label_ctrl.tif:0018-0552:2,1.515,0.000,0,0,29.140,34.667,29.140,34.667,1.000,0.000,0,2,1,1.000,1.000,1.021
19,2-7_coloc_label_ctrl.tif:0019-0480:1,1.515,16.125,0,48,33.913,30.145,33.944,30.176,1.000,24.422,6192,1,1,1.000,1.000,1.021
20,2-7_coloc_label_ctrl.tif:0020-0480:2,1.515,0.000,0,0,33.913,30.145,33.913,30.145,1.000,0.000,0,2,1,1.000,1.000,1.021
21,2-7_coloc_label_ctrl.tif:0021-0648:1,1.357,85.875,0,229,39.691,40.696,39.722,40.790,0.992,116.512,29541,1,1,1.105,0.905,1.006
22,2-7_coloc_label_ctrl.tif:0022-0648:2,1.357,0.000,0,0,39.691,40.696,39.691,40.696,0.992,0.000,0,2,1,1.105,0.905,1.006
23,2-7_coloc_label_ctrl.tif:0023-0672:1,1.357,88.125,0,235,39.879,42.203,39.911,42.172,0.992,119.565,30315,1,1,1.105,0.905,1.006
24,2-7_coloc_label_ctrl.tif:0024-0672:2,1.357,0.000,0,0,39.879,42.203,39.879,42.203,0.992,0.000,0,2,1,1.105,0.905,1.006
25,2-7_coloc_label_ctrl.tif:0025-0748:1,1.515,17.805,0,53,41.449,46.976,41.481,47.007,1.000,26.966,6837,1,1,1.000,1.000,1.021
26,2-7_coloc_label_ctrl.tif:0026-0748:2,1.515,0.000,0,0,41.449,46.976,41.449,46.976,1.000,0.000,0,2,1,1.000,1.000,1.021
27,2-7_coloc_label_ctrl.tif:0027-0691:1,1.515,19.820,0,59,44.338,43.396,44.370,43.428,1.000,30.018,7611,1,1,1.000,1.000,1.021
28,2-7_coloc_label_ctrl.tif:0028-0691:2,1.515,0.000,0,0,44.338,43.396,44.338,43.396,1.000,0.000,0,2,1,1.000,1.000,1.021
29,2-7_coloc_label_ctrl.tif:0029-0779:1,1.515,80.625,0,240,45.720,48.923,45.751,48.954,1.000,122.109,30960,1,1,1.000,1.000,1.021
30,2-7_coloc_label_ctrl.tif:0030-0779:2,1.515,0.000,0,0,45.720,48.923,45.720,48.923,1.000,0.000,0,2,1,1.000,1.000,1.021
31,2-7_coloc_label_ctrl.tif:0031-0457:1,1.515,21.500,0,64,47.918,28.701,47.949,28.732,1.000,32.562,8256,1,1,1.000,1.000,1.021
32,2-7_coloc_label_ctrl.tif:0032-0457:2,1.515,0.000,0,0,47.918,28.701,47.918,28.701,1.000,0.000,0,2,1,1.000,1.000,1.021
33,2-7_coloc_label_ctrl.tif:0033-0535:1,1.515,23.180,0,69,48.546,33.599,48.577,33.630,1.000,35.106,8901,1,1,1.000,1.000,1.021
34,2-7_coloc_label_ctrl.tif:0034-0535:2,1.515,0.000,0,0,48.546,33.599,48.546,33.599,1.000,0.000,0,2,1,1.000,1.000,1.021
35,2-7_coloc_label_ctrl.tif:0035-0660:1,1.515,25.195,0,75,48.546,41.449,48.577,41.481,1.000,38.159,9675,1,1,1.000,1.000,1.021
36,2-7_coloc_label_ctrl.tif:0036-0660:2,1.515,0.000,0,0,48.546,41.449,48.546,41.449,1.000,0.000,0,2,1,1.000,1.000,1.021
37,2-7_coloc_label_ctrl.tif:0037-0815:1,1.515,26.875,0,80,50.681,51.184,50.713,51.215,1.000,40.703,10320,1,1,1.000,1.000,1.021
38,2-7_coloc_label_ctrl.tif:0038-0815:2,1.515,0.000,0,0,50.681,51.184,50.681,51.184,1.000,0.000,0,2,1,1.000,1.000,1.021
39,2-7_coloc_label_ctrl.tif:0039-0756:1,1.515,28.555,0,85,52.691,47.478,52.722,47.510,1.000,43.247,10965,1,1,1.000,1.000,1.021
40,2-7_coloc_label_ctrl.tif:0040-0756:2,1.515,0.000,0,0,52.691,47.478,52.691,47.478,1.000,0.000,0,2,1,1.000,1.000,1.021
41,2-7_coloc_label_ctrl.tif:0041-0643:1,1.515,82.305,0,245,52.754,40.382,52.785,40.413,1.000,124.653,31605,1,1,1.000,1.000,1.021
42,2-7_coloc_label_ctrl.tif:0042-0643:2,1.515,0.000,0,0,52.754,40.382,52.754,40.382,1.000,0.000,0,2,1,1.000,1.000,1.021
43,2-7_coloc_label_ctrl.tif:0043-0537:1,1.515,30.570,0,91,53.633,33.725,53.664,33.756,1.000,46.300,11739,1,1,1.000,1.000,1.021
44,2-7_coloc_label_ctrl.tif:0044-0537:2,1.515,0.000,0,0,53.633,33.725,53.633,33.725,1.000,0.000,0,2,1,1.000,1.000,1.021
45,2-7_coloc_label_ctrl.tif:0045-0443:1,1.515,32.250,0,96,55.454,27.821,55.486,27.853,1.000,48.844,12384,1,1,1.000,1.000,1.021
46,2-7_coloc_label_ctrl.tif:0046-0443:2,1.515,0.000,0,0,55.454,27.821,55.454,27.821,1.000,0.000,0,2,1,1.000,1.000,1.021
47,2-7_coloc_label_ctrl.tif:0047-0883:1,1.278,22.756,0,101,57.213,55.486,57.220,55.500,0.967,29.080,7373,1,1,1.416,0.706,1.006
48,2-7_coloc_label_ctrl.tif:0048-0883:2,1.278,0.000,0,0,57.213,55.486,57.213,55.486,0.967,0.000,0,2,1,1.416,0.706,1.006
49,2-7_coloc_label_ctrl.tif:0049-0461:1,1.515,84.320,0,251,60.039,28.952,60.070,28.983,1.000,127.706,32379,1,1,1.000,1.000,1.021
50,2-7_coloc_label_ctrl.tif:0050-0461:2,1.515,0.000,0,0,60.039,28.952,60.039,28.952,1.000,0.000,0,2,1,1.000,1.000,1.021
51,2-7_coloc_label_ctrl.tif:0051-0897:1,1.515,69.875,0,208,62.990,56.333,63.022,56.365,1.000,105.828,26832,1,1,1.000,1.000,1.021
52,2-7_coloc_label_ctrl.tif:0052-0897:2,1.515,0.000,0,0,62.990,56.333,62.990,56.333,1.000,0.000,0,2,1,1.000,1.000,1.021
53,2-7_coloc_label_ctrl.tif:0053-0742:1,0.615,0.000,0,0,15.010,46.599,15.010,46.599,1.000,0.000,0,1,1,1.000,1.000,1.026
54,2-7_coloc_label_ctrl.tif:0054-0742:2,0.615,45.750,0,117,15.010,46.599,15.041,46.630,1.000,28.149,7137,2,1,1.000,1.000,1.026
55,2-7_coloc_label_ctrl.tif:0055-0647:1,0.615,0.000,0,0,24.681,40.633,24.681,40.633,1.000,0.000,0,1,1,1.000,1.000,1.026
56,2-7_coloc_label_ctrl.tif:0056-0647:2,0.615,24.635,0,63,24.681,40.633,24.713,40.664,1.000,15.157,3843,2,1,1.000,1.000,1.026
57,2-7_coloc_label_ctrl.tif:0057-0587:1,0.615,0.000,0,0,30.710,36.865,30.710,36.865,1.000,0.000,0,1,1,1.000,1.000,1.026
58,2-7_coloc_label_ctrl.tif:0058-0587:2,0.615,98.147,0,251,30.710,36.865,30.742,36.896,1.000,60.388,15311,2,1,1.000,1.000,1.026
59,2-7_coloc_label_ctrl.tif:0059-0733:1,0.615,0.000,0,0,33.034,46.034,33.034,46.034,1.000,0.000,0,1,1,1.000,1.000,1.026
60,2-7_coloc_label_ctrl.tif:0060-0733:2,0.615,23.853,0,61,33.034,46.034,33.065,46.065,1.000,14.676,3721,2,1,1.000,1.000,1.026
61,2-7_coloc_label_ctrl.tif:0061-0445:1,0.615,0.000,0,0,38.309,27.947,38.309,27.947,1.000,0.000,0,1,1,1.000,1.000,1.026
62,2-7_coloc_label_ctrl.tif:0062-0445:2,0.615,23.071,0,59,38.309,27.947,38.341,27.978,1.000,14.195,3599,2,1,1.000,1.000,1.026
63,2-7_coloc_label_ctrl.tif:0063-0531:1,0.615,0.000,0,0,41.826,33.348,41.826,33.348,1.000,0.000,0,1,1,1.000,1.000,1.026
64,2-7_coloc_label_ctrl.tif:0064-0531:2,0.615,22.679,0,58,41.826,33.348,41.858,33.379,1.000,13.954,3538,2,1,1.000,1.000,1.026
65,2-7_coloc_label_ctrl.tif:0065-0576:1,0.615,0.000,0,0,43.961,36.174,43.961,36.174,1.000,0.000,0,1,1,1.000,1.000,1.026
66,2-7_coloc_label_ctrl.tif:0066-0576:2,0.615,21.897,0,56,43.961,36.174,43.993,36.205,1.000,13.473,3416,2,1,1.000,1.000,1.026
67,2-7_coloc_label_ctrl.tif:0067-0863:1,0.536,0.000,0,0,44.087,54.198,44.087,54.198,1.000,0.000,0,1,1,1.144,0.874,1.030
68,2-7_coloc_label_ctrl.tif:0068-0863:2,0.536,1.147,0,52,44.087,54.198,44.097,54.250,1.000,0.615,156,2,1,1.144,0.874,1.030
69,2-7_coloc_label_ctrl.tif:0069-0858:1,0.489,0.000,0,0,45.312,53.884,45.312,53.884,1.000,0.000,0,1,1,1.071,0.934,1.033
70,2-7_coloc_label_ctrl.tif:0070-0858:2,0.489,2.145,0,133,45.312,53.884,45.343,53.916,1.000,1.049,266,2,1,1.071,0.934,1.033
71,2-7_coloc_label_ctrl.tif:0071-0973:1,0.615,0.000,0,0,46.159,61.106,46.159,61.106,1.000,0.000,0,1,1,1.000,1.000,1.026
72,2-7_coloc_label_ctrl.tif:0072-0973:2,0.615,16.032,0,41,46.159,61.106,46.191,61.138,1.000,9.864,2501,2,1,1.000,1.000,1.026
73,2-7_coloc_label_ctrl.tif:0073-0887:1,0.615,0.000,0,0,46.725,55.705,46.725,55.705,1.000,0.000,0,1,1,1.000,1.000,1.026
74,2-7_coloc_label_ctrl.tif:0074-0887:2,0.615,7.385,0,128,46.725,55.705,46.770,55.751,1.000,4.544,1152,2,1,1.000,1.000,1.026
75,2-7_coloc_label_ctrl.tif:0075-0867:1,0.576,0.000,0,0,46.756,54.449,46.756,54.449,1.000,0.000,0,1,1,1.078,0.928,1.043
76,2-7_coloc_label_ctrl.tif:0076-0867:2,0.576,1.370,0,40,46.756,54.449,46.794,54.481,1.000,0.789,200,2,1,1.078,0.928,1.043
77,2-7_coloc_label_ctrl.tif:0077-0897:1,0.615,0.000,0,0,52.816,56.333,52.816,56.333,1.000,0.000,0,1,1,1.000,1.000,1.026
78,2-7_coloc_label_ctrl.tif:0078-0897:2,0.615,14.077,0,36,52.816,56.333,52.848,56.365,1.000,8.661,2196,2,1,1.000,1.000,1.026
79,2-7_coloc_label_ctrl.tif:0079-0908:1,0.615,0.000,0,0,60.290,57.024,60.290,57.024,1.000,0.000,0,1,1,1.000,1.000,1.026
80,2-7_coloc_label_ctrl.tif:0080-0908:2,0.615,12.513,0,32,60.290,57.024,60.321,57.056,1.000,7.699,1952,2,1,1.000,1.000,1.026
81,2-7_coloc_label_ctrl.tif:0081-0395:1,0.122,0.000,0,0,72.065,24.838,72.065,24.838,1.000,0.000,0,1,1,1.372,0.729,1.148
82,2-7_coloc_label_ctrl.tif:0082-0395:2,0.122,5.161,0,20,72.065,24.838,72.167,24.862,1.000,0.631,160,2,1,1.372,0.729,1.148
83,2-7_coloc_label_ctrl.tif:0083-0381:1,0.410,0.000,0,0,72.505,23.928,72.505,23.928,1.000,0.000,0,1,1,1.134,0.882,0.981
84,2-7_coloc_label_ctrl.tif:0084-0381:2,0.410,9.173,0,18,72.505,23.928,72.602,24.006,1.000,3.763,954,2,1,1.134,0.882,0.981
85,2-7_coloc_label_ctrl.tif:0085-0401:1,0.615,0.000,0,0,72.913,25.184,72.913,25.184,1.000,0.000,0,1,1,1.000,1.000,1.026
86,2-7_coloc_label_ctrl.tif:0086-0401:2,0.615,96.699,0,245,72.913,25.184,72.941,25.213,1.000,59.497,15085.000,2,1,1.000,1.000,1.026
87,2-7_coloc_label_ctrl.tif:0087-0378:1,0.615,0.000,0,0,73.541,23.739,73.541,23.739,1.000,0.000,0,1,1,1.000,1.000,1.026
88,2-7_coloc_label_ctrl.tif:0088-0378:2,0.615,95.019,0,243,73.541,23.739,73.573,23.771,1.000,58.463,14823,2,1,1.000,1.000,1.026
89,2-7_coloc_label_ctrl.tif:0089-0605:1,0.576,0.000,0,0,73.730,38.027,73.730,38.027,1.000,0.000,0,1,1,1.078,0.928,1.043
90,2-7_coloc_label_ctrl.tif:0090-0605:2,0.576,5.432,0,13,73.730,38.027,73.761,38.089,1.000,3.128,793,2,1,1.078,0.928,1.043
91,2-7_coloc_label_ctrl.tif:0091-0291:1,0.615,0.000,0,0,74.169,18.275,74.169,18.275,1.000,0.000,0,1,1,1.000,1.000,1.026
92,2-7_coloc_label_ctrl.tif:0092-0291:2,0.615,3.519,0,9,74.169,18.275,74.201,18.307,1.000,2.165,549,2,1,1.000,1.000,1.026
