 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
1,1,146.00000,1003.00000,1,1,1,135,992,157,1014,289,26832.00000,0.00000,1,0,1,0,1
2,1,159.76712,910.61644,1,1,1,151,899,168,923,268,7373.00000,0.00000,1,0,2,0,2
3,1,228.00000,807.00000,1,1,1,217,796,239,818,289,10320.00000,0.00000,1,0,3,0,3
4,1,264.00000,728.00000,1,1,1,253,717,275,739,289,30960.00000,0.00000,1,0,4,0,4
5,1,287.00000,839.00000,1,1,1,276,828,298,850,289,10965.00000,0.00000,1,0,5,0,5
6,1,295.00000,660.00000,1,1,1,284,649,306,671,289,6837.00000,0.00000,1,0,6,0,6
7,1,352.00000,706.00000,1,1,1,341,695,363,717,289,7611.00000,0.00000,1,0,7,0,7
8,1,372.00000,635.00000,1,1,1,361,624,381,646,268,30315.00000,0.00000,1,0,8,0,8
9,1,383.00000,773.00000,1,1,1,372,762,394,784,289,9675.00000,0.00000,1,0,9,0,9
10,1,394.00000,632.00000,1,1,1,385,621,405,643,265,29541.00000,0.00000,1,0,10,0,10
11,1,400.00000,840.00000,1,1,1,389,829,411,851,289,31605.00000,0.00000,1,0,11,0,11
12,1,426.00000,450.00000,1,1,1,415,439,437,461,289,28896.00000,0.00000,1,0,12,0,12
13,1,447.00000,360.00000,1,1,1,436,349,458,371,289,4128.00000,0.00000,1,0,13,0,13
14,1,491.00000,336.00000,1,1,1,480,325,502,347,289,2709.00000,0.00000,1,0,14,0,14
15,1,491.00000,464.00000,1,1,1,480,453,502,475,289,27477.00000,0.00000,1,0,15,0,15
16,1,506.00000,854.00000,1,1,1,495,843,517,865,289,11739.00000,0.00000,1,0,16,0,16
17,1,508.00000,773.00000,1,1,1,497,762,519,784,289,8901.00000,0.00000,1,0,17,0,17
18,1,526.00000,297.00000,1,1,1,515,286,537,308,289,2064.00000,0.00000,1,0,18,0,18
19,1,563.00000,540.00000,1,1,1,552,529,574,551,289,6192.00000,-1516.45455,1,0,19,0,19
20,1,582.00000,956.00000,1,1,1,571,945,593,967,289,32379.00000,0.00000,1,0,20,0,20
21,1,586.00000,763.00000,1,1,1,575,752,597,774,289,8256.00000,15311.00000,1,1,21,37,21
22,1,600.00000,883.00000,1,1,1,589,872,611,894,289,12384.00000,0.00000,1,0,22,0,22
23,1,728.00000,267.00000,1,1,1,717,256,739,278,289,645.00000,0.00000,1,0,23,0,23
24,1,826.00000,297.00000,1,1,1,815,286,837,308,289,1419.00000,0.00000,1,0,24,0,24
25,1,943.00000,268.00000,1,1,1,932,257,954,279,289,28251.00000,0.00000,1,0,25,0,25
26,1,959.00000,357.00000,1,1,1,948,346,970,368,289,3483.00000,0.00000,1,0,26,0,26
27,2,291.00000,68.00000,2,1,1,284,61,298,75,129,0.00000,549.00000,0,1,0,27,27
28,2,378.00000,78.00000,2,1,1,371,71,385,85,129,0.00000,14823.00000,0,1,0,28,28
29,2,382.00000,93.32143,2,1,1,375,89,387,100,86,0.00000,914.86957,0,1,0,29,29
30,2,389.00000,38.00000,2,1,1,382,31,396,45,129,0.00000,7503.00000,0,1,0,30,30
31,2,395.66667,100.33333,2,1,1,392,99,399,104,23,0.00000,20.00000,0,1,0,31,31
32,2,400.99733,88.00802,2,1,1,394,81,408,95,129,0.00000,14682.50000,0,1,0,32,32
33,2,423.00000,45.00000,2,1,1,415,37,431,53,157,0.00000,122.00000,0,1,0,33,33
34,2,445.00000,639.00000,2,1,1,438,632,452,646,129,0.00000,3599.00000,0,1,0,34,34
35,2,531.00000,583.00000,2,1,1,524,576,538,590,129,0.00000,3538.00000,0,1,0,35,35
36,2,576.00000,549.00000,2,1,1,569,542,583,556,129,-144.85714,3416.00000,0,1,0,36,36
37,2,587.00000,760.00000,2,1,1,575,752,597,774,129,8256.00000,15311.00000,1,1,21,37,37
38,2,606.00000,75.00000,2,1,1,599,68,612,82,113,0.00000,685.66667,0,1,0,38,38
39,2,647.00000,856.00000,2,1,1,640,849,654,863,129,0.00000,3843.00000,0,1,0,39,39
40,2,733.00000,723.00000,2,1,1,726,716,740,730,129,0.00000,3721.00000,0,1,0,40,40
41,2,742.00000,1010.00000,2,1,1,735,1003,749,1017,129,0.00000,7137.00000,0,1,0,41,41
42,2,858.00000,527.50000,2,1,1,852,521,864,534,100,0.00000,266.00000,0,1,0,42,42
43,2,863.33333,547.33333,2,1,1,857,540,869,554,106,0.00000,156.00000,0,1,0,43,43
44,2,867.00000,504.40000,2,1,1,860,498,874,511,111,0.00000,200.00000,0,1,0,44,44
45,2,887.22222,504.77778,2,1,1,880,498,894,512,120,0.00000,1152.00000,0,1,0,45,45
46,2,897.00000,408.00000,2,1,1,890,401,904,415,129,0.00000,2196.00000,0,1,0,46,46
47,2,908.00000,289.00000,2,1,1,901,282,915,296,129,0.00000,1952.00000,0,1,0,47,47
48,2,973.00000,514.00000,2,1,1,966,507,980,521,129,0.00000,2501.00000,0,1,0,48,48
49,3,146.00000,1003.00000,1,2,1,135,992,157,1014,289,26832.00000,0.00000,1,0,49,0,49
50,3,160.53226,909.90323,1,2,1,151,899,170,922,260,6262.00000,0.00000,1,0,50,0,50
51,3,228.00000,808.00000,1,2,1,217,797,239,819,289,10320.00000,0.00000,1,0,51,0,51
52,3,287.00000,839.00000,1,2,1,276,828,298,850,289,10965.00000,0.00000,1,0,52,0,52
53,3,296.00000,660.00000,1,2,1,285,649,307,671,289,6837.00000,0.00000,1,0,53,0,53
54,3,352.00000,706.00000,1,2,1,341,695,363,717,289,7611.00000,0.00000,1,0,54,0,54
55,3,382.00000,772.00000,1,2,1,371,761,393,783,289,9675.00000,0.00000,1,0,55,0,55
56,3,445.00000,361.00000,1,2,1,434,350,456,372,289,4128.00000,0.00000,1,0,56,0,56
57,3,487.00000,463.00000,1,2,1,476,452,497,474,282,27477.00000,0.00000,1,0,57,0,57
58,3,493.00000,334.00000,1,2,1,482,323,504,345,289,2709.00000,0.00000,1,0,58,0,58
59,3,506.00000,771.00000,1,2,1,495,760,517,782,289,8901.00000,0.00000,1,0,59,0,59
60,3,506.00000,854.00000,1,2,1,495,843,517,865,289,11739.00000,0.00000,1,0,60,0,60
