 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
1,1,267.00000,315.00000,1,1,1,256,304,278,326,289,645.00000,0.00000,1,0,1,0,1
2,1,268.00000,100.00000,1,1,1,257,89,279,111,289,28251.00000,0.00000,1,0,2,0,2
3,1,297.00000,217.00000,1,1,1,286,206,308,228,289,1419.00000,0.00000,1,0,3,0,3
4,1,297.00000,517.00000,1,1,1,286,506,308,528,289,2064.00000,0.00000,1,0,4,0,4
5,1,336.00000,552.00000,1,1,1,325,541,347,563,289,2709.00000,0.00000,1,0,5,0,5
6,1,357.00000,84.00000,1,1,1,346,73,368,95,289,3483.00000,0.00000,1,0,6,0,6
7,1,360.00000,596.00000,1,1,1,349,585,371,607,289,4128.00000,0.00000,1,0,7,0,7
8,1,450.00000,617.00000,1,1,1,439,606,461,628,289,28896.00000,0.00000,1,0,8,0,8
9,1,464.00000,552.00000,1,1,1,453,541,475,563,289,27477.00000,0.00000,1,0,9,0,9
10,1,540.00000,480.00000,1,1,1,529,469,551,491,289,6192.00000,0.00000,1,0,10,0,10
11,1,632.00000,649.00000,1,1,1,621,638,643,658,265,29541.00000,0.00000,1,0,11,0,11
12,1,635.00000,671.00000,1,1,1,624,662,646,682,268,30315.00000,0.00000,1,0,12,0,12
13,1,660.00000,748.00000,1,1,1,649,737,671,759,289,6837.00000,0.00000,1,0,13,0,13
14,1,706.00000,691.00000,1,1,1,695,680,717,702,289,7611.00000,0.00000,1,0,14,0,14
15,1,728.00000,779.00000,1,1,1,717,768,739,790,289,30960.00000,0.00000,1,0,15,0,15
16,1,763.00000,457.00000,1,1,1,752,446,774,468,289,8256.00000,0.00000,1,0,16,0,16
17,1,773.00000,535.00000,1,1,1,762,524,784,546,289,8901.00000,0.00000,1,0,17,0,17
18,1,773.00000,660.00000,1,1,1,762,649,784,671,289,9675.00000,0.00000,1,0,18,0,18
19,1,807.00000,815.00000,1,1,1,796,804,818,826,289,10320.00000,0.00000,1,0,19,0,19
20,1,839.00000,756.00000,1,1,1,828,745,850,767,289,10965.00000,0.00000,1,0,20,0,20
21,1,840.00000,643.00000,1,1,1,829,632,851,654,289,31605.00000,0.00000,1,0,21,0,21
22,1,854.00000,537.00000,1,1,1,843,526,865,548,289,11739.00000,0.00000,1,0,22,0,22
23,1,883.00000,443.00000,1,1,1,872,432,894,454,289,12384.00000,0.00000,1,0,23,0,23
24,1,910.61644,883.23288,1,1,1,899,875,923,892,268,7373.00000,0.00000,1,0,24,0,24
25,1,956.00000,461.00000,1,1,1,945,450,967,472,289,32379.00000,0.00000,1,0,25,0,25
26,1,1003.00000,897.00000,1,1,1,992,886,1014,908,289,26832.00000,0.00000,1,0,26,0,26
27,2,239.00000,742.00000,2,1,1,232,735,246,749,129,0.00000,7137.00000,0,1,0,27,27
28,2,393.00000,647.00000,2,1,1,386,640,400,654,129,0.00000,3843.00000,0,1,0,28,28
29,2,489.00000,587.00000,2,1,1,482,580,496,594,129,0.00000,15311.00000,0,1,0,29,29
30,2,526.00000,733.00000,2,1,1,519,726,533,740,129,0.00000,3721.00000,0,1,0,30,30
31,2,610.00000,445.00000,2,1,1,603,438,617,452,129,0.00000,3599.00000,0,1,0,31,31
32,2,666.00000,531.00000,2,1,1,659,524,673,538,129,0.00000,3538.00000,0,1,0,32,32
33,2,700.00000,576.00000,2,1,1,693,569,707,583,129,0.00000,3416.00000,0,1,0,33,33
34,2,701.66667,863.33333,2,1,1,695,857,709,869,106,0.00000,156.00000,0,1,0,34,34
35,2,721.50000,858.00000,2,1,1,715,852,728,864,100,0.00000,266.00000,0,1,0,35,35
36,2,735.00000,973.00000,2,1,1,728,966,742,980,129,0.00000,2501.00000,0,1,0,36,36
37,2,744.22222,887.22222,2,1,1,737,880,751,894,120,0.00000,1152.00000,0,1,0,37,37
